artista,bio_resumen,listeners
Pink Floyd,"Pink Floyd are an English rock band formed in London in 1965 by Syd Barrett (guitar, vocals), Nick Mason (drums), Roger Waters (bass guitar, vocals) and Richard Wright (keyboards, vocals), with David Gilmour (guitar, vocals) joining at the end of 1967. Gaining an early following as one of the first British psychedelic groups, they were distinguished by their extended compositions, sonic experiments, philosophical lyrics, and elaborate live performances, and became a leading progressive rock band.",5394866
AC/DC,"AC/DC are an Australian rock band formed in Sydney in 1973. Their music has been described as hard rock, blues rock, and heavy metal, though the band refers to it simply as ""rock and roll."" They are regarded as a significant influence on the new wave of British heavy metal and were inducted into the Rock and Roll Hall of Fame in 2003. With more than 200 million records sold worldwide, they are among the best-selling music artists in history.

AC/DC were founded by brothers Angus Young (lead guitar) and Malcolm Young (rhythm guitar)",4431618
The Rolling Stones,"The Rolling Stones is an English rock band formed in London in 1962. Active for six decades, they are one of the most popular and enduring bands of the rock era. In the early 1960s, the Rolling Stones pioneered the gritty, rhythmically driven sound that came to define hard rock. Their first stable line-up consisted of vocalist Mick Jagger, multi-instrumentalist Brian Jones, guitarist Keith Richards, bassist Bill Wyman, and drummer Charlie Watts. During their formative years",5706117
R.E.M.,"R.E.M. was an American alternative rock band from Athens, Georgia, formed in 1980 by drummer Bill Berry, guitarist  Peter Buck, bassist/backing vocalist  Mike Mills, and lead vocalist  Michael Stipe. One of the first alternative rock bands, R.E.M. was noted for Buck's ringing, arpeggiated guitar style, Stipe's distinctive vocal quality and obscure lyrics, Mills's melodic bass lines and backing vocals, and Berry's tight, economical style of drumming.",4270747
The Police,"The Police was a rock band which formed in 1977 in London, England. The band consisted of Sting (vocals, bass), Andy Summers (guitar) and Stewart Copeland (drums).  The band released five albums -- ""Outlandos d'Amour"" (1978), ""Reggatta de Blanc"" (1979), ""Zenyatta Mondatta"" (1980), ""Ghost in the Machine"" (1982) and ""Synchronicity"" (1983) -- before entering a hiatus in 1984 and ultimately disbanding in 1986

The band reunited in January 2007 for a reunion tour that lasted until August 2008.",4390947
Guns N' Roses,"Guns N' Roses is an American hard rock band formed in Los Angeles, California, in 1985 from L.A. Guns and Hollywood Rose. After signing with Geffen Records in 1986, the band's ""classic"" lineup featured vocalist Axl Rose, lead guitarist Slash, rhythm guitarist Izzy Stradlin, bassist Duff McKagan, and drummer Steven Adler.

The band gained a local following before releasing their debut album Appetite for Destruction (1987), which initially struggled until the breakout success of the Welcome to the Jungle music video.",5057349
Hombres G,"Spanish pop/rock foursome Hombres G was formed by ex-los Residuos guitarist Daniel Mezquita, drummer Javier Molina, and singer/bassist David Summers, soon joined by guitarist Rafael Gutierrez. The band's name was based on an American movie called G-Men. Hombres G made its live debut at Madrid's Rockola, recording a demo called Milagro En El Congo in 1984. They soon signed up to the independent label Twins to make their debut album, featuring a catchy song called ""Devuelveme A Mi Chica,"" which became their first hit.",500962
Billy Joel,"Billy Joel (born William Martin Joel on May 9, 1949 in Bronx, New York, USA) is an American pianist, singer-songwriter, and composer. Since releasing his first hit song, ""Piano Man,"" in 1973, Joel has become a multi-million-selling recording artist. Joel recorded many popular hit songs and albums from 1971 until he stopped recording pop/rock music in 1993. He is one of the very few rock (or even pop) artists to have Top 10 hits in the '70s, '80s, and '90s.",3914552
Dire Straits,"Dire Straits were a British rock band formed in London in 1977 by Mark Knopfler (lead vocals and lead guitar), David Knopfler (rhythm guitar and backing vocals), John Illsley (bass guitar and backing vocals), and Pick Withers (drums and percussion). They were active from 1977 to 1988 and again from 1990 to 1995.

Their first single, ""Sultans of Swing"", from their 1978 self-titled debut album, reached the top ten in the UK and US charts. It was followed by a series of hit singles including ""Romeo and Juliet"" (1981)",3418342
Julieta Venegas,"Julieta Venegas (born November 24, 1970) is a successful Mexican singer and songwriter of Latin music. She was born in Long Beach, California, but raised in Tijuana, Baja California and has a twin sister Yvonne who is a photographer. She was a former member of the band ""Tijuana No"". Julieta plays numerous instruments including acoustic guitar, accordion, and keyboard. She won the 2004 Latin Grammy for Best Vocal Rock Album (Sí).
Albums. She is radicated in Mexico City",778912
Linkin Park,"Linkin Park is an American alternative rock band from Agoura Hills, California. The band's current lineup comprises of vocalist/rhythm guitarist/keyboardist Mike Shinoda, lead guitarist Brad Delson, bassist Dave Farrell, DJ/turntablist Joe Hahn, drummer Colin Brittain, and lead vocalist Emily Armstrong. Shinoda, Delson, Farrell and Hahn are founding members. Vocalists Mark Wakefield, Chester Bennington & drummer Rob Bourdon are former members of the band.",6735971
Bon Jovi,"Bon Jovi is an American rock band formed in 1983 in Sayreville, New Jersey. It consists of singer Jon Bon Jovi, keyboardist David Bryan, drummer Tico Torres, guitarist Phil X, and bassist Hugh McDonald. Original bassist Alec John Such quit the band in 1994, and longtime guitarist and co-songwriter Richie Sambora left in 2013. The band has been credited with ""[bridging] the gap between heavy metal and pop with style and ease"".

In 1984 and 1985, Bon",4124020
Phil Collins,"Philip David Charles Collins (born 30 January 1951) is an English singer, musician, songwriter, record producer and actor. He was the drummer and lead singer of the rock band Genesis and also has a career as a solo performer. Between 1982 and 1990, Collins scored three UK and seven US number-one singles as a solo artist. When his work with Genesis, his work with other artists, as well as his solo career is totalled, he had more US top 40 singles than any other artist during the 1980s.",3127643
Jarabe De Palo,"Jarabe de Palo (literally ""Wooden Stick Syrup"" or, after the Spanish expression ""dar un jarabe de palo"", i.e. a ""hell of a beating""), was a Spanish rock band founded in 1996. The group was led by singer, songwriter, and guitarist Pau Donés, whose death in 2020 caused the band to break up.

Pau Donés, born and raised in Barcelona, worked for various groups before being able to take on his current project, Jarabe de Palo. He began at age 15 with his brother Marc, with whom he formed a group known as J.",568317
Tame Impala,"Tame Impala is the psychedelic music project of Australian multi-instrumentalist Kevin Parker, blending rock, pop, and electronic sounds with lush production and introspective lyrics. Their discography includes Innerspeaker (2010), Lonerism (2012), Currents (2015), The Slow Rush (2020), and Deadbeat (2025). As a touring act, Tame Impala consists of Parker (guitar, vocals), Dominic Simper (guitar, synthesiser), Jay Watson (synthesiser, vocals, guitar), Cam Avery (bass guitar, vocals), and Julien Barbagallo (drums, vocals).",4050130
Café Quijano,"Café Quijano is a Spanish Pop group. It is made up of three brothers: Manuel, Óscar, and Raúl, all of whom are signers. They live in León where, in the center of the city they manage the club ""La Lola"" with their father. Besides having published 4 cd' s with great success, they have collaborated with Disney for soundtracks and have been in promotional photos of Castilla y León for tourism in the region.",100940
Juanes,"Juan Esteban Aristizábal Vásquez (born August 9, 1972), best known as Juanes, is a rock musician from Medellín, Colombia. When he was younger, his father started calling him Juanes, rather than Juan, a contraction of his two first names Juan and Esteban. As his friends grew to know him by this name, he chose to keep it for his musical career, which started when he, Andrés García, Fernando ""Toby"" Tobón and José David Lopera, formed the rock band Ekhymosis in 1988.",1171223
Imagine Dragons,"Imagine Dragons is an American pop band formed in 2008, based in Las Vegas, Nevada. The band currently consists of lead singer Dan Reynolds, guitarist Wayne Sermon, and bassist Ben McKee. 

They first gained exposure with the release of their single ""It's Time"", followed by their debut album Night Visions (2012), which resulted in the chart-topping singles ""Radioactive"" and ""Demons"". 

Rolling Stone named ""Radioactive"", which held the record for most weeks charted on the Billboard Hot 100, the ""biggest rock hit of the year"".",3946269
Elvis Presley,"Elvis Aaron Presley (January 8, 1935 – August 16, 1977) was an American singer and actor. Regarded as one of the most significant cultural icons of the 20th century, he is often referred to as the ""King of Rock and Roll"" or simply ""the King"".

Presley was born in Tupelo, Mississippi, and relocated to Memphis, Tennessee, with his family when he was 13 years old. His music career began there in 1954, recording at Sun Records with producer Sam Phillips, who wanted to bring the sound of African American music to a wider audience.",4368003
The Beatles,"The Beatles were an English rock band formed in Liverpool, Merseyside in 1960. With the line-up comprising John Lennon, Paul McCartney,  George Harrison, and Ringo Starr, they are regarded as the most popular and influential band of all time. The group were integral to the development of 1960s counterculture and popular music's recognition as an art form. Rooted in skiffle, beat and 1950s rock and roll, their sound incorporated elements of classical",6345438
Radiohead,"Radiohead is an English rock band formed in Abingdon, Oxfordshire, in 1985. The band consists of Thom Yorke (vocals, guitar, piano, keyboards); brothers Jonny Greenwood (guitar, keyboards, other instruments) and Colin Greenwood (bass); Ed O'Brien (guitar, backing vocals); and Philip Selway (drums, percussion). Since 1994, they have frequently collaborated with producer Nigel Godrich and cover artist Stanley Donwood. Radiohead are noted for their experimental approach, which has influenced the development of alternative rock.",8011237
Queen,"Queen are a British rock band formed in London in 1970 by Freddie Mercury (lead vocals, piano), Brian May (guitar, vocals), and Roger Taylor (drums, vocals), later joined by John Deacon (bass). Their earliest works were influenced by progressive rock, hard rock, and heavy metal, but the band gradually ventured into more conventional and radio-friendly styles by incorporating elements of arena rock and pop rock.

Before forming Queen, May and Taylor had played together in the band Smile.",7049351
Maná,"There is more than one artist with this name:

1) Maná (note the accent) is a Mexican  rock  group that had its origins near the end of the 1970s in Guadalajara, Jalisco, México. Their sound has strong influences from hard rock and more mellow pop sounds with additional influences from calypso and reggae. They started with the name ""Sombrero Verde"", but in the late 80's it was changed to the current name. They have a long trajectory as musicians and the band underwent two lineup changes in the 90's.",817784
Maroon 5,"Maroon 5 is an American pop rock band that originated in Los Angeles, California, United States. The group was formed in 1994 as Kara's Flowers while its members were still in high school and originally consisted of Adam Levine (lead vocals, guitar), Jesse Carmichael (guitar, backing vocals) Mickey Madden (bass guitar) and Ryan Dusick (drums). Kara's Flowers signed to Reprise Records and released an album, ""The Fourth World"", in 1997. After a tepid response to the album",6439053
Red Hot Chili Peppers,"The Red Hot Chili Peppers is an American rock band formed in Los Angeles in 1982, consisting of Anthony Kiedis (vocals), Flea (bass), John Frusciante (guitar), and Chad Smith (drums). Their music blends elements of alternative rock, funk, punk rock, hard rock, hip hop, and psychedelic rock, and they have influenced genres such as funk metal, rap metal, rap rock, and nu metal. With over 120 million records sold worldwide, the Red Hot Chili Peppers are among the best-selling bands in history.",7076495
